Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.8968944099378882,0.888877339755778,0.8968944099378882,0.8846656521110021
Decision Tree,0.8385093167701864,0.837434945610523,0.8385093167701864,0.8379656912913926
Random Forest,0.9031055900621118,0.8986418047287614,0.9031055900621118,0.8901351582682746
Support Vector Machine,0.8968944099378882,0.8971946855332978,0.8968944099378882,0.8777598147306863
KNN,0.8770186335403727,0.8622155072779158,0.8770186335403727,0.8577333309735642
Gradient Boosting,0.9043478260869565,0.8988836776946802,0.9043478260869565,0.8930030748499659
